timestamp,emotion,confidence,angry,disgust,fear,happy,sad,surprise,neutral
2026-03-05T10:51:40.270998,sad,0.32,0.19,0.0,0.12,0.22,0.32,0.09,0.06
2026-03-05T10:51:40.285730,sad,0.32,0.19,0.0,0.12,0.22,0.32,0.09,0.06
2026-03-05T10:51:40.332646,sad,0.29,0.1733,0.0,0.1233,0.2667,0.29,0.0833,0.0633
2026-03-05T10:51:40.351124,happy,0.29,0.165,0.0,0.125,0.29,0.275,0.08,0.065
2026-03-05T10:51:40.431332,happy,0.278,0.18,0.0,0.124,0.278,0.274,0.078,0.068
2026-03-05T10:51:40.438413,happy,0.28,0.19,0.0,0.124,0.28,0.264,0.074,0.072
2026-03-05T10:51:40.464811,happy,0.312,0.184,0.0,0.114,0.312,0.248,0.066,0.08
2026-03-05T10:51:40.480462,happy,0.316,0.188,0.0,0.102,0.316,0.25,0.062,0.086
2026-03-05T10:51:40.533969,happy,0.304,0.184,0.0,0.096,0.304,0.264,0.062,0.096
2026-03-05T10:51:40.560190,happy,0.318,0.16,0.0,0.092,0.318,0.27,0.062,0.104
2026-03-05T10:51:40.619072,happy,0.364,0.126,0.0,0.082,0.364,0.262,0.062,0.108
2026-03-05T10:51:40.625363,happy,0.38,0.108,0.0,0.082,0.38,0.26,0.066,0.108
2026-03-05T10:51:40.670976,happy,0.448,0.088,0.0,0.074,0.448,0.23,0.06,0.102
2026-03-05T10:51:40.684713,happy,0.532,0.076,0.0,0.06,0.532,0.188,0.05,0.092
2026-03-05T10:51:40.764754,happy,0.606,0.066,0.0,0.048,0.606,0.156,0.046,0.074
2026-03-05T10:51:40.780536,happy,0.648,0.066,0.0,0.042,0.648,0.138,0.042,0.06
2026-03-05T10:51:40.838828,happy,0.678,0.066,0.0,0.036,0.678,0.12,0.036,0.06
2026-03-05T10:51:40.846507,happy,0.656,0.068,0.0,0.038,0.656,0.13,0.04,0.066
2026-03-05T10:51:40.934495,happy,0.65,0.066,0.0,0.042,0.65,0.138,0.044,0.06
2026-03-05T10:51:40.958209,happy,0.654,0.062,0.0,0.044,0.654,0.136,0.042,0.062
2026-03-05T10:51:41.083929,happy,0.662,0.056,0.0,0.046,0.662,0.13,0.042,0.064
2026-03-05T10:51:41.089869,happy,0.682,0.05,0.0,0.048,0.682,0.124,0.044,0.052
2026-03-05T10:51:41.149524,happy,0.704,0.048,0.0,0.048,0.704,0.116,0.046,0.04
2026-03-05T10:51:41.155822,happy,0.71,0.05,0.0,0.046,0.71,0.11,0.048,0.04
2026-03-05T10:51:41.264956,happy,0.73,0.05,0.0,0.042,0.73,0.096,0.044,0.04
2026-03-05T10:51:41.279851,happy,0.746,0.052,0.0,0.038,0.746,0.086,0.038,0.04
